id,name,record_type,record_id,blob_id,created_at
364,video,Spree::Product,1617,364,2020-08-17 09:45:50.227365
366,video,Spree::Product,1618,366,2020-08-17 09:46:17.969337
367,attachment,Spree::Asset,192,367,2020-08-17 09:46:31.183362
369,video,Spree::Product,2413,369,2020-08-17 09:49:26.837988
371,video,Spree::Product,2414,371,2020-08-17 09:51:21.092047
372,attachment,Spree::Asset,193,372,2020-08-17 09:52:02.272707
373,attachment,Spree::Asset,194,373,2020-08-17 09:57:14.811609
375,video,Spree::Product,2415,375,2020-08-17 09:57:37.476424
377,video,Spree::Product,2416,377,2020-08-17 10:01:17.355359
380,attachment,Spree::Asset,195,380,2020-08-17 10:09:33.106831
382,video,Spree::Product,1075,382,2020-08-17 10:10:50.374317
384,video,Spree::Product,2417,384,2020-08-17 10:15:36.534262
385,attachment,Spree::Asset,196,385,2020-08-17 10:15:54.107120
386,attachment,Spree::Asset,197,386,2020-08-17 10:20:38.591834
388,video,Spree::Product,2419,388,2020-08-17 10:20:52.286073
390,video,Spree::Product,2420,390,2020-08-17 10:24:14.438223
391,attachment,Spree::Asset,198,391,2020-08-17 10:25:51.274693
392,attachment,Spree::Asset,199,392,2020-08-17 10:27:29.775644
394,video,Spree::Product,2421,394,2020-08-17 10:27:54.373769
396,video,Spree::Product,2422,396,2020-08-17 10:29:15.103365
397,attachment,Spree::Asset,200,397,2020-08-17 10:29:44.731319
398,attachment,Spree::Asset,201,398,2020-08-17 10:31:30.642705
400,video,Spree::Product,2423,400,2020-08-17 10:31:46.070176
402,video,Spree::Product,2424,402,2020-08-17 10:55:33.670034
403,attachment,Spree::Asset,202,403,2020-08-17 11:14:29.880387
406,video,Spree::Product,2425,406,2020-08-17 11:27:00.270769
408,video,Spree::Product,2426,408,2020-08-17 12:59:50.354079
410,video,Spree::Product,2427,410,2020-08-17 13:03:30.787364
411,attachment,Spree::Asset,204,411,2020-08-17 13:03:47.684394
412,attachment,Spree::Asset,205,412,2020-08-17 13:09:53.034908
414,video,Spree::Product,2428,414,2020-08-17 13:10:12.022778
415,storage_data,Ckeditor::Asset,1,415,2020-08-17 13:17:46.171521
417,video,Spree::Product,2430,417,2020-08-17 13:21:31.438047
419,attachment,Spree::Asset,207,419,2020-08-17 13:34:06.839032
421,video,Spree::Product,2431,421,2020-08-17 13:34:32.610598
423,video,Spree::Product,2432,423,2020-08-17 13:47:23.058377
424,attachment,Spree::Asset,208,424,2020-08-17 13:54:23.402220
425,attachment,Spree::Asset,209,425,2020-08-17 13:56:59.691293
427,video,Spree::Product,907,427,2020-08-17 13:58:50.522823
429,video,Spree::Product,1069,429,2020-08-17 14:07:54.790397
430,attachment,Spree::Asset,210,430,2020-08-17 14:11:10.520990
431,attachment,Spree::Asset,211,431,2020-08-17 14:25:56.003391
433,video,Spree::Product,2258,433,2020-08-17 14:26:15.690151
